# SD_tot is the amplitude of the overall spectral distortion (SD)
# The SD[i] are the amplitudes of the individual SDs
# The SDs are given in units [10^-26 W m^-2 Hz^-1 sr^-1] 
#
# 1:Dimensionless frequency x     2:Frequency nu [GHz]     3:SD_tot                 4:SD[g]                  5:SD[y]                  6:SD[mu]                 7:SD[e_0]                8:SD[e_1]            
       9.508670578877e+00       5.400000000000e+02       4.032095915238e+00       0.000000000000e+00       3.099253609684e+00       1.098250675267e+00      -1.643241647804e-01      -1.084204932394e-03 
       9.772800317179e+00       5.550000000000e+02       3.571956442542e+00       0.000000000000e+00       2.782538765602e+00       9.485850541805e-01      -1.580572523165e-01      -1.110124923913e-03 
       1.003693005548e+01       5.700000000000e+02       3.150876828973e+00       0.000000000000e+00       2.485742567304e+00       8.165351404621e-01      -1.502867389205e-01      -1.114139873217e-03 
       1.030105979378e+01       5.850000000000e+02       2.768336407393e+00       0.000000000000e+00       2.210259429847e+00       7.006174417949e-01      -1.414409027427e-01      -1.099561506706e-03 
       1.056518953209e+01       6.000000000000e+02       2.423086175118e+00       0.000000000000e+00       1.956725799689e+00       5.993370073729e-01      -1.319068974358e-01      -1.069734508362e-03 
       1.082931927039e+01       6.150000000000e+02       2.113360952072e+00       0.000000000000e+00       1.725168452893e+00       5.112296333347e-01      -1.220092896331e-01      -1.027844522659e-03 
       1.109344900869e+01       6.300000000000e+02       1.837036630194e+00       0.000000000000e+00       1.515139405304e+00       4.348908909340e-01      -1.120168290054e-01      -9.768370380173e-04 
       1.135757874699e+01       6.450000000000e+02       1.591765049296e+00       0.000000000000e+00       1.325832285436e+00       3.689982796175e-01      -1.021461573884e-01      -9.193583697336e-04 
       1.162170848529e+01       6.600000000000e+02       1.375078648616e+00       0.000000000000e+00       1.156182916365e+00       3.123224945390e-01      -9.256901097134e-02      -8.577513167339e-04 
       1.188583822360e+01       6.750000000000e+02       1.184490704621e+00       0.000000000000e+00       1.004955136443e+00       2.637356384757e-01      -8.340613444751e-02      -7.939358500030e-04 
       1.214996796190e+01       6.900000000000e+02       1.017539535403e+00       0.000000000000e+00       8.708080827432e-01       2.222125586524e-01      -7.475151637930e-02      -7.295896128502e-04 
       1.241409770020e+01       7.050000000000e+02       8.718520299352e-01       0.000000000000e+00       7.523524894532e-01       1.868301974264e-01      -6.666461083432e-02      -6.660461100731e-04 
       1.267822743850e+01       7.200000000000e+02       7.451758673420e-01       0.000000000000e+00       6.481956579320e-01       1.567638300847e-01      -5.917926809940e-02      -6.043525753465e-04 
       1.294235717680e+01       7.350000000000e+02       6.354016983700e-01       0.000000000000e+00       5.569740685835e-01       1.312815265739e-01      -5.230859615794e-02      -5.453006294416e-04 
       1.320648691511e+01       7.500000000000e+02       5.405745910758e-01       0.000000000000e+00       4.773767240917e-01       1.097378493314e-01      -4.605050637524e-02      -4.894759720899e-04 
       1.347061665341e+01       7.650000000000e+02       4.589078884332e-01       0.000000000000e+00       4.081643732626e-01       9.156686360799e-02      -4.038612901692e-02      -4.372194204960e-04 
       1.373474639171e+01       7.800000000000e+02       3.887738159382e-01       0.000000000000e+00       3.481798095103e-01       7.627480403464e-02      -3.529202455991e-02      -3.887730468500e-04 
       1.399887613001e+01       7.950000000000e+02       3.287052779662e-01       0.000000000000e+00       2.963531230851e-01       6.343287487243e-02      -3.073649257070e-02      -3.442274206415e-04 
       1.426300586832e+01       8.100000000000e+02       2.773894365548e-01       0.000000000000e+00       2.517062324074e-01       5.267039401684e-02      -2.668361933541e-02      -3.035705340679e-04 
       1.452713560662e+01       8.250000000000e+02       2.336573424598e-01       0.000000000000e+00       2.133511333253e-01       4.366805158703e-02      -2.309513242335e-02      -2.667100292435e-04 
       1.479126534492e+01       8.400000000000e+02       1.964744267693e-01       0.000000000000e+00       1.804879080735e-01       3.615189421930e-02      -1.993188073683e-02      -2.334947866955e-04 
       1.505539508322e+01       8.550000000000e+02       1.649290425798e-01       0.000000000000e+00       1.524007431923e-01       2.988767221278e-02      -1.715563145720e-02      -2.037413680785e-04 
       1.531952482152e+01       8.700000000000e+02       1.382125006072e-01       0.000000000000e+00       1.284527116275e-01       2.467566411210e-02      -1.473849050768e-02      -1.773846246764e-04 
       1.558365455983e+01       8.850000000000e+02       1.156376632964e-01       0.000000000000e+00       1.080803145328e-01       2.034615060437e-02      -1.263476000105e-02      -1.540418397181e-04 
       1.584778429813e+01       9.000000000000e+02       9.663600296074e-02       0.000000000000e+00       9.078726784974e-02       1.675530856086e-02      -1.077370724221e-02      -1.328662076375e-04 
       1.611191403643e+01       9.150000000000e+02       8.061547844309e-02       0.000000000000e+00       7.613856351374e-02       1.378155195957e-02      -9.189953152196e-03      -1.146838780255e-04 
       1.637604377473e+01       9.300000000000e+02       6.715356002037e-02       0.000000000000e+00       6.375453066037e-02       1.132236743274e-02      -7.824562220971e-03      -9.877585176778e-05 
       1.664017351303e+01       9.450000000000e+02       5.588279875113e-02       0.000000000000e+00       5.330496548808e-02       9.291520305284e-03      -6.629150144941e-03      -8.453689729231e-05 
       1.690430325134e+01       9.600000000000e+02       4.642852491903e-02       0.000000000000e+00       4.450374171702e-02       7.616629214809e-03      -5.619421296536e-03      -7.242471626495e-05 
       1.716843298964e+01       9.750000000000e+02       3.852317306433e-02       0.000000000000e+00       3.710390164388e-02       6.237073027652e-03      -4.755868069718e-03      -6.193353748681e-05 
       1.743256272794e+01       9.900000000000e+02       3.193581708408e-02       0.000000000000e+00       3.089275406233e-02       5.102172758716e-03      -4.006462331394e-03      -5.264740556735e-05 
       1.769669246624e+01       1.005000000000e+03       2.643515069710e-02       0.000000000000e+00       2.568779606246e-02       4.169654224252e-03      -3.377489791743e-03      -4.480979786494e-05 
